Epoch, Training Loss, Validation Loss, Training Accuracy, Validation Accuracy
1, 1.7394869630624847, 1.4400032782449133, 0.4892278747187073, 0.5732472324723247
2, 1.388429299572922, 1.3510203255576723, 0.5762718117091526, 0.5935424354243543
3, 1.3027984757239082, 1.3291407471473238, 0.5980742981517689, 0.6007380073800738
4, 1.2640457181460598, 1.3074295463199812, 0.609141550153097, 0.6034132841328413
